City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Aizawl,2020-03-11 09:00:00,42.0,51.28,4.27,0.97,6.66,19.88,0.37,3.35,,0.0,,,,
Aizawl,2020-03-11 10:00:00,41.17,49.96,4.51,1.27,7.24,21.55,0.38,3.44,,0.0,,,,
Aizawl,2020-03-11 11:00:00,24.97,42.04,7.25,5.45,14.56,20.25,0.5,3.93,6.95,0.0,,,,
Aizawl,2020-03-11 12:00:00,26.95,38.86,7.31,2.52,12.13,21.94,0.52,3.93,,0.0,,,,
Aizawl,2020-03-11 13:00:00,17.42,37.15,7.25,1.58,11.14,25.71,0.49,4.36,,0.0,,,,
Aizawl,2020-03-11 14:00:00,15.08,29.88,7.29,1.52,11.13,26.62,0.48,4.75,,0.0,,,,
Aizawl,2020-03-11 15:00:00,12.75,26.3,7.4,1.97,11.69,30.78,0.46,4.65,2.34,0.02,,,,
Aizawl,2020-03-11 16:00:00,12.03,32.4,7.34,8.76,17.57,27.45,0.45,5.26,6.15,0.0,,,,
Aizawl,2020-03-11 17:00:00,26.58,43.5,7.45,7.12,16.32,28.6,0.61,5.48,2.48,0.06,,,,
Aizawl,2020-03-11 18:00:00,102.28,136.53,7.81,3.79,13.85,32.49,0.73,5.42,,0.1,,,,
Aizawl,2020-03-11 19:00:00,40.0,51.61,7.79,3.42,13.49,32.06,0.82,5.2,,0.04,0.19,,,
Aizawl,2020-03-11 20:00:00,43.28,54.08,7.44,1.96,11.78,32.0,0.83,4.92,,0.06,0.33,,,
Aizawl,2020-03-11 21:00:00,25.55,41.91,7.36,1.25,10.98,28.25,0.84,4.58,,0.07,0.4,,,
Aizawl,2020-03-11 22:00:00,32.78,43.61,7.33,0.82,10.56,26.68,0.81,4.49,,0.05,0.29,,,
Aizawl,2020-03-11 23:00:00,27.5,39.55,7.11,0.42,9.81,25.29,0.75,4.23,,0.05,0.27,,,
