City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Amritsar,2017-02-27 12:00:00,19.61,22.88,15.71,8.94,,1.14,0.73,,10.52,,,,,
Amritsar,2017-02-27 13:00:00,23.58,22.03,13.96,8.2,,0.93,0.71,,10.57,,,,,
Amritsar,2017-02-27 14:00:00,,,,,,,,,,,,,,
Amritsar,2017-02-27 15:00:00,11.51,9.29,14.49,7.96,,1.95,0.52,15.4,10.22,,,,,
Amritsar,2017-02-27 16:00:00,10.08,12.58,15.28,8.26,,1.99,0.46,16.93,10.47,,,,,
Amritsar,2017-02-27 17:00:00,8.28,12.45,15.62,7.31,,1.72,0.47,16.03,11.07,,,,,
Amritsar,2017-02-27 18:00:00,10.34,18.96,12.69,6.66,,0.86,0.48,4.19,10.76,,,,,
Amritsar,2017-02-27 19:00:00,12.25,13.97,10.62,6.95,,0.53,0.54,0.35,13.95,,,,,
Amritsar,2017-02-27 20:00:00,10.27,15.53,10.86,8.51,,0.64,0.78,0.91,16.86,,,,,
Amritsar,2017-02-27 21:00:00,13.31,11.81,14.44,11.48,,1.52,1.1,3.44,16.99,,,,,
Amritsar,2017-02-27 22:00:00,15.31,14.03,19.16,11.57,,2.74,1.38,18.39,15.51,,,,,
Amritsar,2017-02-27 23:00:00,13.04,10.64,22.85,11.6,,3.56,1.72,23.4,15.69,,,,,
Amritsar,2017-02-28 00:00:00,16.4,7.69,21.83,11.11,,2.64,1.91,29.86,13.64,,,,,
Amritsar,2017-02-28 01:00:00,23.9,29.74,21.5,11.28,,1.91,1.45,11.53,16.63,,,,,
Amritsar,2017-02-28 02:00:00,28.4,32.06,18.02,8.83,,1.41,1.66,20.45,16.82,,,,,
Amritsar,2017-02-28 03:00:00,26.06,25.31,15.19,6.52,,1.03,1.29,30.77,15.0,,,,,
Amritsar,2017-02-28 04:00:00,20.22,23.74,16.26,7.58,,1.5,1.14,1.24,14.13,,,,96.0,Satisfactory
Amritsar,2017-02-28 05:00:00,14.17,15.77,20.38,8.98,,2.63,1.02,13.99,13.19,,,,96.0,Satisfactory
Amritsar,2017-02-28 06:00:00,9.8,10.04,22.69,9.92,,3.41,0.87,18.41,13.85,,,,96.0,Satisfactory
Amritsar,2017-02-28 07:00:00,7.46,7.6,19.24,7.82,,2.15,0.76,37.94,11.23,,,,96.0,Satisfactory
Amritsar,2017-02-28 08:00:00,9.8,12.97,16.63,7.64,,1.15,0.72,22.37,11.05,,,,83.0,Satisfactory
Amritsar,2017-02-28 09:00:00,13.9,16.24,15.6,7.66,,1.12,0.69,9.69,11.28,,,,83.0,Satisfactory
Amritsar,2017-02-28 10:00:00,13.82,16.05,14.9,7.92,,0.87,0.6,8.41,10.92,,,,64.0,Satisfactory
Amritsar,2017-02-28 11:00:00,13.85,17.26,16.67,8.33,,1.54,0.59,1.57,11.25,,,,57.0,Satisfactory
Amritsar,2017-02-28 12:00:00,12.08,12.35,19.93,9.12,,3.04,0.48,11.76,11.05,,,,51.0,Satisfactory
Amritsar,2017-02-28 13:00:00,10.32,8.21,20.35,8.33,,2.69,0.42,15.93,10.21,,,,44.0,Good
Amritsar,2017-02-28 14:00:00,9.91,6.13,20.52,8.74,,2.18,0.39,13.39,11.5,,,,38.0,Good
Amritsar,2017-02-28 15:00:00,8.86,7.77,17.59,7.69,,1.21,0.34,2.31,9.93,,,,36.0,Good
Amritsar,2017-02-28 16:00:00,8.82,11.41,14.72,6.6,,1.01,0.22,,10.1,,,,34.0,Good
Amritsar,2017-02-28 17:00:00,7.32,12.7,13.64,6.43,,0.72,0.17,,11.24,,,,30.0,Good
Amritsar,2017-02-28 18:00:00,6.86,9.28,14.57,7.35,,1.49,0.13,3.4,10.8,,,,30.0,Good
Amritsar,2017-02-28 19:00:00,6.77,6.62,15.9,7.6,,2.46,0.07,20.34,10.52,,,,24.0,Good
Amritsar,2017-02-28 20:00:00,5.88,5.31,16.68,7.16,,1.94,0.13,31.57,9.73,,,,22.0,Good
Amritsar,2017-02-28 21:00:00,5.62,4.67,16.64,7.6,,1.67,0.29,37.83,10.4,,,,22.0,Good
Amritsar,2017-02-28 22:00:00,7.64,16.7,15.0,6.97,,1.0,0.39,9.84,10.21,,,,21.0,Good
Amritsar,2017-02-28 23:00:00,11.06,15.7,14.01,6.01,,0.77,0.42,0.75,10.36,,,,21.0,Good
Amritsar,2017-03-01 00:00:00,12.02,13.39,13.09,4.99,,0.79,0.35,,10.51,,,,21.0,Good
Amritsar,2017-03-01 01:00:00,10.65,10.05,16.11,6.27,,1.27,0.48,16.0,11.2,,,,24.0,Good
Amritsar,2017-03-01 02:00:00,8.13,7.57,19.0,7.61,,2.45,0.6,35.95,10.97,,,,30.0,Good
Amritsar,2017-03-01 03:00:00,7.0,6.11,21.69,8.77,,3.2,0.53,40.25,10.65,,,,30.0,Good
Amritsar,2017-03-01 04:00:00,6.32,5.45,22.74,8.18,,3.04,0.44,44.25,10.18,,,,30.0,Good
Amritsar,2017-03-01 05:00:00,8.12,15.01,18.8,7.15,,1.24,0.48,27.02,9.78,,,,30.0,Good
Amritsar,2017-03-01 06:00:00,12.22,19.38,17.3,6.48,,1.02,0.43,11.84,10.03,,,,30.0,Good
Amritsar,2017-03-01 07:00:00,14.37,14.86,15.33,4.91,,0.69,0.36,4.66,10.06,,,,30.0,Good
Amritsar,2017-03-01 08:00:00,13.4,13.51,17.24,6.31,,1.35,0.38,13.12,10.55,,,,30.0,Good
Amritsar,2017-03-01 09:00:00,9.84,10.07,19.53,7.61,,2.47,0.34,31.57,10.43,,,,30.0,Good
Amritsar,2017-03-01 10:00:00,8.09,7.49,21.82,8.59,,3.27,0.33,40.52,10.49,,,,26.0,Good
Amritsar,2017-03-01 11:00:00,6.99,6.88,21.69,8.45,,2.63,0.32,41.81,9.75,,,,27.0,Good
Amritsar,2017-03-01 12:00:00,8.19,14.46,19.53,8.17,,1.64,0.41,28.38,9.62,,,,28.0,Good
Amritsar,2017-03-01 13:00:00,10.06,13.87,17.87,8.09,,1.35,0.34,18.84,11.21,,,,28.0,Good
Amritsar,2017-03-01 14:00:00,8.75,12.83,16.06,7.75,,1.14,0.33,16.02,10.21,,,,28.0,Good
Amritsar,2017-03-01 15:00:00,9.99,10.01,9.89,4.46,,0.46,0.2,17.55,11.27,,,,29.0,Good
Amritsar,2017-03-01 16:00:00,11.89,9.66,8.04,1.21,,0.02,0.21,6.98,13.31,,,,28.0,Good
Amritsar,2017-03-01 17:00:00,31.14,66.87,6.87,2.35,,1.0,0.11,23.92,13.6,,,,28.0,Good
Amritsar,2017-03-01 18:00:00,60.72,57.92,6.88,1.89,,0.99,0.07,34.03,16.74,,,,30.0,Good
Amritsar,2017-03-01 19:00:00,57.97,68.01,6.75,1.87,,0.48,0.23,23.26,15.18,,,,30.0,Good
Amritsar,2017-03-01 20:00:00,47.17,47.7,7.78,3.65,,0.53,0.4,18.1,14.49,,,,29.0,Good
Amritsar,2017-03-01 21:00:00,39.94,37.33,9.22,7.11,,1.11,1.04,27.72,11.72,,,,52.0,Satisfactory
Amritsar,2017-03-01 22:00:00,38.17,34.45,10.43,7.07,,2.0,0.96,35.73,12.38,,,,52.0,Satisfactory
Amritsar,2017-03-01 23:00:00,27.29,22.3,10.8,5.6,,1.49,0.9,45.98,12.4,,,,52.0,Satisfactory
Amritsar,2017-03-02 00:00:00,19.23,24.14,10.68,3.66,,1.04,0.93,41.67,11.92,,,,52.0,Satisfactory
Amritsar,2017-03-02 01:00:00,14.88,16.47,12.75,5.15,,1.29,0.64,12.78,11.46,,,,52.0,Satisfactory
Amritsar,2017-03-02 02:00:00,13.71,11.81,15.4,7.19,,2.26,0.72,29.8,11.13,,,,52.0,Satisfactory
