City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bengaluru,2017-01-01 12:00:00,26.2,77.22,4.06,27.18,0.0,,0.54,3.9,40.53,2.62,1.47,,82.0,Satisfactory
Bengaluru,2017-01-02 12:00:00,15.06,111.2,3.84,27.55,0.0,,0.44,5.18,46.93,1.26,1.14,,74.0,Satisfactory
Bengaluru,2017-01-03 12:00:00,22.19,93.69,4.5,31.92,,,0.98,6.87,68.75,3.14,9.37,,88.0,Satisfactory
Bengaluru,2017-01-04 12:00:00,34.94,107.48,5.06,33.54,0.0,25.65,0.56,4.51,72.04,3.11,2.82,,81.0,Satisfactory
Bengaluru,2017-01-05 12:00:00,31.47,109.47,5.14,29.32,0.0,24.33,0.7,3.61,78.03,2.6,2.3,,88.0,Satisfactory
Bengaluru,2017-01-06 12:00:00,51.24,,2.04,9.61,,24.34,1.01,2.6,63.05,3.87,3.49,,85.0,Satisfactory
Bengaluru,2017-01-07 12:00:00,39.42,,2.7,21.11,,25.7,,2.68,59.45,2.2,1.7,,88.0,Satisfactory
Bengaluru,2017-01-08 12:00:00,29.62,122.07,2.96,29.15,0.0,26.04,0.68,3.38,59.64,0.75,0.65,,93.0,Satisfactory
Bengaluru,2017-01-09 12:00:00,34.36,115.39,3.42,30.46,0.0,26.82,0.76,5.34,87.61,4.01,8.97,,90.0,Satisfactory
Bengaluru,2017-01-10 12:00:00,45.28,111.84,3.04,27.19,0.0,25.03,0.5,4.79,,,,,116.0,Moderate
Bengaluru,2017-01-11 12:00:00,32.98,109.82,2.6,25.94,,25.96,0.91,5.84,88.79,2.56,2.58,,117.0,Moderate
Bengaluru,2017-01-12 12:00:00,19.52,,1.38,14.06,0.0,,0.0,1.14,88.68,2.34,2.7,,110.0,Moderate
Bengaluru,2017-01-13 12:00:00,49.9,,2.66,15.81,,27.06,,3.04,73.35,1.43,1.48,,96.0,Satisfactory
Bengaluru,2017-01-14 12:00:00,12.74,,2.9,12.0,0.0,24.06,0.0,2.6,80.61,1.09,0.86,,77.0,Satisfactory
Bengaluru,2017-01-15 12:00:00,22.6,,1.23,7.18,0.0,23.41,0.0,2.89,86.99,1.48,0.99,,76.0,Satisfactory
Bengaluru,2017-01-16 12:00:00,26.6,115.33,4.66,27.59,,25.86,0.63,3.58,85.96,1.49,1.28,,72.0,Satisfactory
Bengaluru,2017-01-17 12:00:00,38.24,118.03,6.4,37.06,,22.71,0.98,3.92,,,,,94.0,Satisfactory
Bengaluru,2017-01-18 12:00:00,,112.65,7.18,51.51,,,1.28,12.4,,,,,113.0,Moderate
Bengaluru,2017-01-19 12:00:00,36.19,92.48,5.76,36.44,,22.95,2.21,5.78,,,,,80.0,Satisfactory
Bengaluru,2017-01-20 12:00:00,45.29,112.29,4.76,37.11,0.0,24.08,0.56,4.71,,,,,86.0,Satisfactory
Bengaluru,2017-01-21 12:00:00,,,,,,,,,,,,,108.0,Moderate
Bengaluru,2017-01-22 12:00:00,,100.87,9.47,53.94,0.0,,0.5,4.75,,,,,94.0,Satisfactory
Bengaluru,2017-01-23 12:00:00,14.5,189.08,7.34,40.13,0.0,24.61,0.5,5.96,,,,,112.0,Moderate
Bengaluru,2017-01-24 12:00:00,57.41,132.21,8.49,45.3,,22.2,1.04,8.46,,,,,99.0,Satisfactory
Bengaluru,2017-01-25 12:00:00,29.6,104.33,4.25,30.97,0.0,22.59,1.45,5.14,69.12,1.66,1.41,,185.0,Moderate
Bengaluru,2017-01-26 12:00:00,22.02,96.4,5.18,25.83,0.0,24.96,7.4,2.73,64.2,0.96,0.51,,179.0,Moderate
Bengaluru,2017-01-27 12:00:00,22.71,108.62,7.75,29.39,0.0,29.73,8.37,12.09,13.02,1.79,1.41,,173.0,Moderate
Bengaluru,2017-01-28 12:00:00,5.64,78.13,10.63,145.67,0.0,,0.9,2.02,6.28,1.42,1.38,,218.0,Poor
Bengaluru,2017-01-29 12:00:00,5.98,50.8,9.01,41.83,0.0,,7.71,6.6,15.87,1.0,0.66,,212.0,Poor
Bengaluru,2017-01-30 12:00:00,29.68,94.87,10.45,34.23,,28.64,12.8,11.71,60.93,1.83,5.25,,236.0,Poor
Bengaluru,2017-01-31 12:00:00,43.01,95.8,6.24,44.06,0.0,25.06,0.76,11.07,,,,,78.0,Satisfactory
Bengaluru,2017-02-01 12:00:00,31.72,63.72,13.87,47.11,0.0,26.91,0.81,5.25,65.64,1.15,1.47,,74.0,Satisfactory
Bengaluru,2017-02-02 12:00:00,48.26,72.57,9.92,63.75,0.0,18.82,15.26,10.05,81.45,1.75,3.09,,104.0,Moderate
Bengaluru,2017-02-03 12:00:00,37.96,84.49,7.29,57.38,0.0,22.71,10.45,2.52,75.7,2.18,1.82,,215.0,Poor
Bengaluru,2017-02-04 12:00:00,20.38,,0.71,17.77,0.0,21.38,11.81,3.67,82.26,1.68,1.46,,276.0,Poor
Bengaluru,2017-02-05 12:00:00,25.52,,0.69,14.18,0.0,21.25,8.17,3.49,96.2,1.64,0.98,,271.0,Poor
Bengaluru,2017-02-06 12:00:00,36.9,,2.66,30.16,0.0,20.98,12.3,4.18,111.4,1.41,1.02,,276.0,Poor
Bengaluru,2017-02-07 12:00:00,14.83,82.88,6.85,44.47,0.0,23.58,8.19,8.88,123.16,4.25,2.23,,215.0,Poor
Bengaluru,2017-02-08 12:00:00,32.52,73.73,7.54,58.08,,19.93,12.87,8.74,129.04,1.61,31.08,,230.0,Poor
Bengaluru,2017-02-09 12:00:00,34.52,87.17,3.56,51.47,0.0,23.95,0.66,6.87,12.64,2.37,6.22,,71.0,Satisfactory
Bengaluru,2017-02-10 12:00:00,37.51,,2.5,19.48,,20.39,,6.15,15.03,2.97,2.78,,78.0,Satisfactory
Bengaluru,2017-02-11 12:00:00,32.68,,2.26,15.76,0.0,22.41,0.0,4.14,29.66,1.89,2.18,,64.0,Satisfactory
Bengaluru,2017-02-12 12:00:00,30.69,63.45,8.18,53.06,0.0,23.17,0.58,3.85,,,,,78.0,Satisfactory
Bengaluru,2017-02-13 12:00:00,30.58,,3.52,7.46,0.0,23.58,0.0,4.78,,,,,60.0,Satisfactory
Bengaluru,2017-02-14 12:00:00,31.58,,4.69,16.8,0.0,28.99,0.0,2.6,,,,,62.0,Satisfactory
Bengaluru,2017-02-15 12:00:00,40.14,60.11,8.48,58.76,,22.04,0.0,4.95,,,,,82.0,Satisfactory
Bengaluru,2017-02-16 12:00:00,11.52,98.52,6.89,55.48,0.0,23.72,1.07,10.04,,,,,83.0,Satisfactory
Bengaluru,2017-02-17 12:00:00,68.41,104.1,6.71,62.72,0.0,23.22,1.06,8.52,,,,,88.0,Satisfactory
Bengaluru,2017-02-18 12:00:00,49.45,,9.41,31.5,0.0,19.45,0.0,9.44,,,,,96.0,Satisfactory
Bengaluru,2017-02-19 12:00:00,34.43,63.49,8.94,73.67,0.0,22.61,1.11,8.93,,,,,94.0,Satisfactory
Bengaluru,2017-02-20 12:00:00,51.42,87.35,1.32,15.02,0.0,23.25,0.46,8.67,,,,,86.0,Satisfactory
Bengaluru,2017-02-21 12:00:00,61.71,93.65,4.74,33.6,,24.1,1.26,5.87,,,,,104.0,Moderate
Bengaluru,2017-02-22 12:00:00,49.92,78.86,5.7,33.4,0.0,22.29,2.54,34.47,,,,,110.0,Moderate
Bengaluru,2017-02-23 12:00:00,28.74,,17.6,19.24,0.0,21.73,0.0,10.18,124.77,2.85,2.4,,108.0,Moderate
Bengaluru,2017-02-24 12:00:00,41.4,76.06,8.1,32.68,0.0,19.8,0.66,19.12,39.59,3.65,2.31,,84.0,Satisfactory
Bengaluru,2017-02-25 12:00:00,44.55,,3.67,12.97,0.0,21.38,0.0,5.95,,,,,72.0,Satisfactory
Bengaluru,2017-02-26 12:00:00,24.98,70.96,6.39,31.25,0.0,22.82,0.32,8.13,49.46,2.26,1.5,,74.0,Satisfactory
Bengaluru,2017-02-27 12:00:00,26.66,63.65,8.97,36.57,0.0,24.54,0.36,10.15,49.5,2.0,1.62,,68.0,Satisfactory
Bengaluru,2017-02-28 12:00:00,9.6,52.74,10.56,51.28,0.0,,1.06,5.84,43.8,2.38,1.5,,78.0,Satisfactory
Bengaluru,2017-03-01 12:00:00,50.66,,31.38,27.12,0.0,25.52,0.0,4.16,67.16,3.73,2.13,,73.0,Satisfactory
Bengaluru,2017-03-02 12:00:00,29.86,,2.9,28.9,,26.19,,3.61,31.48,5.25,2.0,,77.0,Satisfactory
Bengaluru,2017-03-03 12:00:00,27.07,,2.48,21.76,0.0,27.51,0.0,3.46,33.31,2.5,1.75,,65.0,Satisfactory
Bengaluru,2017-03-04 12:00:00,36.86,77.11,9.72,45.6,,28.44,0.59,11.33,19.19,1.0,1.28,,52.0,Satisfactory
Bengaluru,2017-03-05 12:00:00,26.62,60.37,3.37,14.31,0.0,26.94,0.38,6.86,26.48,1.22,1.0,,55.0,Satisfactory
