Datetime,PM2.5,PM10,NOx,CO
2017-01-01 12:00:00,26.2,77.22,0.0,0.54
2017-01-02 12:00:00,15.06,111.2,0.0,0.44
2017-01-03 12:00:00,22.19,93.69,,0.98
2017-01-04 12:00:00,34.94,107.48,0.0,0.56
2017-01-05 12:00:00,31.47,109.47,0.0,0.7
2017-01-06 12:00:00,51.24,,,1.01
2017-01-07 12:00:00,39.42,,,
2017-01-08 12:00:00,29.62,122.07,0.0,0.68
2017-01-09 12:00:00,34.36,115.39,0.0,0.76
2017-01-10 12:00:00,45.28,111.84,0.0,0.5
2017-01-11 12:00:00,32.98,109.82,,0.91
2017-01-12 12:00:00,19.52,,0.0,0.0
2017-01-13 12:00:00,49.9,,,
2017-01-14 12:00:00,12.74,,0.0,0.0
2017-01-15 12:00:00,22.6,,0.0,0.0
2017-01-16 12:00:00,26.6,115.33,,0.63
2017-01-17 12:00:00,38.24,118.03,,0.98
2017-01-18 12:00:00,,112.65,,1.28
2017-01-19 12:00:00,36.19,92.48,,2.21
2017-01-20 12:00:00,45.29,112.29,0.0,0.56
2017-01-21 12:00:00,,,,
2017-01-22 12:00:00,,100.87,0.0,0.5
2017-01-23 12:00:00,14.5,189.08,0.0,0.5
2017-01-24 12:00:00,57.41,132.21,,1.04
2017-01-25 12:00:00,29.6,104.33,0.0,1.45
2017-01-26 12:00:00,22.02,96.4,0.0,7.4
2017-01-27 12:00:00,22.71,108.62,0.0,8.37
2017-01-28 12:00:00,5.64,78.13,0.0,0.9
2017-01-29 12:00:00,5.98,50.8,0.0,7.71
2017-01-30 12:00:00,29.68,94.87,,12.8
2017-01-31 12:00:00,43.01,95.8,0.0,0.76
2017-02-01 12:00:00,31.72,63.72,0.0,0.81
2017-02-02 12:00:00,48.26,72.57,0.0,15.26
2017-02-03 12:00:00,37.96,84.49,0.0,10.45
2017-02-04 12:00:00,20.38,,0.0,11.81
2017-02-05 12:00:00,25.52,,0.0,8.17
2017-02-06 12:00:00,36.9,,0.0,12.3
2017-02-07 12:00:00,14.83,82.88,0.0,8.19
2017-02-08 12:00:00,32.52,73.73,,12.87
2017-02-09 12:00:00,34.52,87.17,0.0,0.66
2017-02-10 12:00:00,37.51,,,
2017-02-11 12:00:00,32.68,,0.0,0.0
2017-02-12 12:00:00,30.69,63.45,0.0,0.58
2017-02-13 12:00:00,30.58,,0.0,0.0
2017-02-14 12:00:00,31.58,,0.0,0.0
2017-02-15 12:00:00,40.14,60.11,,0.0
2017-02-16 12:00:00,11.52,98.52,0.0,1.07
2017-02-17 12:00:00,68.41,104.1,0.0,1.06
2017-02-18 12:00:00,49.45,,0.0,0.0
2017-02-19 12:00:00,34.43,63.49,0.0,1.11
2017-02-20 12:00:00,51.42,87.35,0.0,0.46
2017-02-21 12:00:00,61.71,93.65,,1.26
2017-02-22 12:00:00,49.92,78.86,0.0,2.54
2017-02-23 12:00:00,28.74,,0.0,0.0
2017-02-24 12:00:00,41.4,76.06,0.0,0.66
