City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Bhopal,2019-09-17 10:00:00,15.0,30.0,8.8,25.8,20.9,43.7,0.84,8.1,75.7,,,,,
Bhopal,2019-09-17 11:00:00,16.5,28.25,8.65,26.1,20.92,41.7,0.95,8.3,72.85,,,,,
Bhopal,2019-09-17 12:00:00,19.5,26.75,9.45,28.02,22.6,36.85,1.16,8.95,70.83,,,,,
Bhopal,2019-09-17 13:00:00,16.75,40.75,8.95,28.12,22.23,33.42,1.09,9.35,74.47,,,,,
Bhopal,2019-09-17 14:00:00,23.5,52.5,9.68,28.88,23.2,31.7,1.17,9.43,54.3,,,,,
Bhopal,2019-09-17 15:00:00,28.75,65.0,10.73,33.27,26.45,29.62,1.37,9.25,46.92,,,,,
Bhopal,2019-09-17 16:00:00,32.25,73.0,10.55,33.15,26.2,31.15,1.39,11.03,47.7,,,,,
Bhopal,2019-09-17 17:00:00,30.75,69.5,10.68,38.1,28.95,29.32,1.43,11.93,43.38,,,,,
Bhopal,2019-09-17 18:00:00,17.25,43.25,14.65,53.25,40.23,24.67,1.81,12.5,26.3,,,,,
Bhopal,2019-09-17 19:00:00,22.25,44.5,14.2,48.5,37.35,31.4,1.77,11.98,20.5,,,,,
Bhopal,2019-09-17 20:00:00,19.75,30.75,20.55,54.12,45.5,31.02,2.15,11.18,13.88,,,,,
Bhopal,2019-09-17 21:00:00,28.0,37.75,21.0,44.45,40.7,37.98,1.89,11.47,17.02,,,,,
Bhopal,2019-09-17 22:00:00,27.0,34.25,17.23,46.47,38.72,42.35,1.91,11.88,13.55,,,,,
Bhopal,2019-09-17 23:00:00,26.5,39.0,22.18,51.92,45.62,39.95,2.29,12.1,8.6,,,,,
Bhopal,2019-09-18 00:00:00,33.75,50.5,17.62,59.48,45.95,41.52,2.38,12.65,9.77,,,,,
Bhopal,2019-09-18 01:00:00,31.25,46.75,12.05,45.52,34.0,50.83,1.15,9.47,17.5,,,,105.0,Moderate
Bhopal,2019-09-18 02:00:00,23.25,38.75,9.98,34.98,26.72,55.65,0.85,8.45,22.4,,,,105.0,Moderate
Bhopal,2019-09-18 03:00:00,15.0,32.5,10.05,28.45,23.33,56.6,0.69,8.47,26.52,,,,105.0,Moderate
Bhopal,2019-09-18 04:00:00,14.75,25.75,9.93,23.05,20.33,58.12,0.56,8.43,27.92,,,,105.0,Moderate
Bhopal,2019-09-18 05:00:00,13.25,25.5,9.3,19.88,18.12,58.02,0.52,8.2,33.9,,,,105.0,Moderate
Bhopal,2019-09-18 06:00:00,10.5,20.75,10.93,25.17,22.23,53.98,0.64,8.47,26.48,,,,105.0,Moderate
Bhopal,2019-09-18 07:00:00,12.25,32.25,11.85,30.23,25.73,51.35,0.73,8.4,23.82,,,,105.0,Moderate
Bhopal,2019-09-18 08:00:00,22.0,42.75,14.35,32.97,29.23,49.02,0.89,8.45,27.3,,,,57.0,Satisfactory
Bhopal,2019-09-18 09:00:00,21.0,45.25,12.03,25.15,23.15,51.23,0.89,8.35,37.83,,,,44.0,Good
Bhopal,2019-09-18 10:00:00,18.5,48.5,12.25,26.93,24.27,48.47,1.09,8.55,36.32,,,,54.0,Satisfactory
Bhopal,2019-09-18 11:00:00,18.75,55.5,13.35,26.98,25.17,45.23,1.11,8.67,47.45,,,,56.0,Satisfactory
Bhopal,2019-09-18 12:00:00,17.0,55.0,14.7,30.85,28.35,39.28,1.29,9.2,37.1,,,,64.0,Satisfactory
Bhopal,2019-09-18 13:00:00,23.25,51.0,18.28,39.75,35.98,32.52,1.59,9.02,23.4,,,,80.0,Satisfactory
Bhopal,2019-09-18 14:00:00,22.5,30.0,19.82,40.3,37.58,32.1,1.51,8.93,24.82,,,,80.0,Satisfactory
Bhopal,2019-09-18 15:00:00,16.75,26.5,11.07,32.2,26.12,41.65,1.03,8.82,39.95,,,,80.0,Satisfactory
Bhopal,2019-09-18 16:00:00,14.5,19.25,12.75,40.7,32.05,38.28,1.27,8.62,32.8,,,,80.0,Satisfactory
Bhopal,2019-09-18 17:00:00,19.5,28.25,15.0,41.2,34.12,38.12,1.49,9.05,33.38,,,,80.0,Satisfactory
Bhopal,2019-09-18 18:00:00,20.25,26.25,18.9,45.77,39.7,35.33,1.88,9.15,22.97,,,,94.0,Satisfactory
Bhopal,2019-09-18 19:00:00,22.0,34.0,31.5,53.0,53.8,26.9,2.4,9.38,11.95,,,,105.0,Moderate
Bhopal,2019-09-18 20:00:00,31.75,51.5,23.92,57.1,49.82,33.1,2.27,9.03,7.45,,,,105.0,Moderate
Bhopal,2019-09-18 21:00:00,28.5,43.25,32.7,57.25,57.02,31.32,2.79,9.22,4.6,,,,110.0,Moderate
Bhopal,2019-09-18 22:00:00,35.75,48.0,23.45,49.17,45.23,42.75,2.21,8.98,7.1,,,,110.0,Moderate
Bhopal,2019-09-18 23:00:00,24.0,39.0,20.12,41.42,38.42,47.9,1.95,8.88,10.18,,,,110.0,Moderate
Bhopal,2019-09-19 00:00:00,18.0,30.0,12.2,22.85,22.05,57.95,1.06,8.82,25.5,,,,110.0,Moderate
Bhopal,2019-09-19 01:00:00,5.0,12.0,9.95,20.5,18.97,58.23,0.46,7.72,31.7,,,,110.0,Moderate
