City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Coimbatore,2019-06-12 12:00:00,15.8,23.33,7.03,3.65,10.68,7.56,1.0,9.71,35.33,0.03,1.38,,,
Coimbatore,2019-06-12 13:00:00,18.69,26.88,6.61,2.87,9.49,7.67,1.01,8.63,40.59,0.01,0.33,,,
Coimbatore,2019-06-12 14:00:00,26.73,39.32,6.8,3.41,10.21,8.11,1.12,12.7,39.85,0.02,0.6,,,
Coimbatore,2019-06-12 15:00:00,37.11,53.22,7.03,4.14,11.18,9.22,1.31,9.76,37.37,0.04,0.48,,,
Coimbatore,2019-06-12 16:00:00,51.97,63.38,6.69,3.57,10.28,9.69,1.23,13.3,30.1,0.04,0.55,,,
Coimbatore,2019-06-12 17:00:00,75.36,68.61,6.41,3.79,10.18,9.85,1.12,9.46,26.68,0.02,0.61,,,
Coimbatore,2019-06-12 18:00:00,,,6.87,4.95,11.82,10.21,1.23,9.44,24.57,0.06,0.36,,,
Coimbatore,2019-06-12 19:00:00,,,6.96,5.18,12.15,10.18,1.21,12.03,23.61,0.04,0.17,,,
Coimbatore,2019-06-12 20:00:00,48.23,50.52,6.77,5.8,12.56,9.51,1.21,10.12,26.55,0.08,0.22,,,
Coimbatore,2019-06-12 21:00:00,44.75,46.78,6.77,4.94,11.7,9.96,1.29,9.23,26.99,0.08,0.17,,,
Coimbatore,2019-06-12 22:00:00,,34.17,6.06,4.51,10.56,9.75,1.1,10.14,23.26,0.02,0.14,,,
Coimbatore,2019-06-12 23:00:00,27.5,28.72,6.1,4.87,10.97,10.12,1.09,8.43,22.64,0.01,0.11,,,
Coimbatore,2019-06-13 00:00:00,21.85,24.22,6.3,4.66,10.97,10.9,1.17,8.46,24.45,0.0,0.06,,,
Coimbatore,2019-06-13 01:00:00,18.28,22.15,6.41,4.76,11.16,10.8,1.12,11.11,23.2,0.07,0.09,,,
Coimbatore,2019-06-13 02:00:00,20.09,23.8,6.38,5.52,11.9,10.47,1.06,10.14,20.72,0.02,0.05,,,
Coimbatore,2019-06-13 03:00:00,21.09,22.91,6.57,5.04,11.61,10.29,1.15,8.96,21.87,0.01,0.07,,,
Coimbatore,2019-06-13 04:00:00,,,6.27,3.67,9.94,9.65,1.06,10.53,23.36,0.04,0.05,,,
Coimbatore,2019-06-13 05:00:00,26.0,26.76,6.16,3.28,9.43,9.29,1.04,9.26,23.42,0.02,0.04,,,
Coimbatore,2019-06-13 06:00:00,24.98,35.22,6.66,4.87,11.53,9.55,1.24,9.27,20.6,0.05,0.07,,62.0,Satisfactory
Coimbatore,2019-06-13 07:00:00,22.75,31.33,6.02,3.05,9.06,8.76,1.03,8.24,22.64,0.05,0.07,,62.0,Satisfactory
Coimbatore,2019-06-13 08:00:00,17.7,21.55,6.28,3.38,9.66,8.62,1.11,8.9,22.65,0.01,0.04,,62.0,Satisfactory
Coimbatore,2019-06-13 09:00:00,20.26,21.42,7.24,5.03,12.27,9.22,1.4,12.4,22.54,0.18,0.16,,70.0,Satisfactory
Coimbatore,2019-06-13 10:00:00,,,6.79,4.1,10.88,8.24,1.12,9.71,24.69,0.03,1.08,,70.0,Satisfactory
Coimbatore,2019-06-13 11:00:00,25.8,28.39,6.42,3.21,9.62,7.78,1.17,9.48,27.49,0.03,0.29,,70.0,Satisfactory
Coimbatore,2019-06-13 12:00:00,27.36,31.46,6.57,4.04,10.61,8.4,1.22,9.25,27.98,0.03,0.55,,70.0,Satisfactory
Coimbatore,2019-06-13 13:00:00,26.1,36.05,7.49,5.91,13.4,8.07,1.17,12.57,30.21,0.04,0.2,,70.0,Satisfactory
Coimbatore,2019-06-13 14:00:00,23.8,34.49,7.31,5.72,13.03,8.07,1.12,9.19,31.11,0.05,0.46,,70.0,Satisfactory
Coimbatore,2019-06-13 15:00:00,20.25,28.96,6.36,3.83,10.19,8.56,1.16,9.13,32.37,0.04,0.45,,70.0,Satisfactory
Coimbatore,2019-06-13 16:00:00,17.88,25.52,6.34,4.14,10.49,8.47,1.14,10.7,32.5,0.02,0.25,,70.0,Satisfactory
Coimbatore,2019-06-13 17:00:00,16.1,26.88,6.44,4.53,10.96,8.25,1.17,10.61,36.03,0.06,0.19,,61.0,Satisfactory
Coimbatore,2019-06-13 18:00:00,19.82,29.04,7.24,9.55,16.8,8.1,1.08,9.07,23.63,0.06,0.47,,61.0,Satisfactory
Coimbatore,2019-06-13 19:00:00,20.54,26.52,6.4,6.65,13.05,8.0,1.09,9.1,25.16,0.04,0.31,,61.0,Satisfactory
Coimbatore,2019-06-13 20:00:00,,,7.09,9.62,16.7,8.06,1.19,11.06,16.72,0.08,0.27,,60.0,Satisfactory
Coimbatore,2019-06-13 21:00:00,,,6.42,4.95,11.37,7.91,1.14,9.12,25.11,0.06,0.13,,60.0,Satisfactory
Coimbatore,2019-06-13 22:00:00,21.81,22.81,6.42,4.83,11.26,7.93,1.15,9.01,26.03,0.04,0.08,,60.0,Satisfactory
