City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Delhi,2017-01-01 12:00:00,197.4,383.96,24.12,66.48,29.27,53.03,0.78,17.34,36.56,7.02,12.9,,345.0,Very Poor
Delhi,2017-01-02 12:00:00,184.81,267.92,86.73,116.51,63.82,59.36,0.6,11.85,35.35,5.18,12.78,,391.0,Very Poor
Delhi,2017-01-03 12:00:00,276.88,378.92,50.44,115.95,56.38,55.5,1.06,18.82,36.38,7.67,11.13,,350.0,Very Poor
Delhi,2017-01-04 12:00:00,162.64,213.78,66.88,76.06,40.84,55.05,0.47,9.39,27.36,3.85,9.65,,481.0,Severe
Delhi,2017-01-05 12:00:00,190.33,295.89,50.02,93.62,49.22,51.05,0.78,18.39,28.14,3.52,6.92,,293.0,Poor
Delhi,2017-01-06 12:00:00,159.57,246.86,14.68,57.41,20.84,49.69,0.56,19.16,30.62,3.28,5.89,,403.0,Severe
Delhi,2017-01-07 12:00:00,116.69,127.5,17.56,42.04,22.88,37.98,0.78,22.4,47.96,4.59,6.31,,323.0,Very Poor
Delhi,2017-01-08 12:00:00,110.65,229.67,13.41,42.57,12.2,22.68,0.51,61.03,43.9,2.79,7.15,,258.0,Poor
Delhi,2017-01-09 12:00:00,198.67,343.72,45.6,70.6,52.85,37.89,1.16,27.04,33.51,5.48,9.44,,276.0,Poor
Delhi,2017-01-10 12:00:00,112.19,263.5,28.92,49.02,31.36,21.06,0.35,16.67,41.44,3.07,6.29,,302.0,Very Poor
Delhi,2017-01-11 12:00:00,145.49,313.33,29.44,56.04,38.1,27.34,0.72,24.61,30.73,3.54,5.38,,344.0,Very Poor
Delhi,2017-01-12 12:00:00,226.5,436.68,50.09,75.96,59.11,37.95,0.69,20.58,23.31,4.7,5.6,,423.0,Severe
Delhi,2017-01-13 12:00:00,232.09,523.24,41.24,72.62,44.86,37.08,0.63,33.63,31.54,4.39,7.32,,416.0,Severe
Delhi,2017-01-14 12:00:00,285.88,301.0,59.29,81.76,36.26,25.42,0.0,7.35,21.88,1.88,1.77,,409.0,Severe
Delhi,2017-01-15 12:00:00,213.97,357.62,18.79,49.46,20.15,28.18,0.8,20.24,32.15,3.95,6.78,,381.0,Very Poor
Delhi,2017-01-16 12:00:00,186.46,379.28,42.08,75.18,53.75,42.4,1.25,22.56,31.84,4.02,6.08,,404.0,Severe
Delhi,2017-01-17 12:00:00,227.35,248.81,61.16,49.25,51.14,30.04,0.59,18.46,35.18,3.33,4.77,,319.0,Very Poor
Delhi,2017-01-18 12:00:00,478.09,318.8,35.08,73.12,29.57,35.0,0.56,20.02,32.6,6.89,11.58,,384.0,Very Poor
Delhi,2017-01-19 12:00:00,349.37,282.27,23.68,59.09,22.77,29.44,0.58,23.36,31.1,7.95,14.02,,382.0,Very Poor
Delhi,2017-01-20 12:00:00,437.28,275.53,43.31,85.01,44.61,32.83,0.57,28.35,35.71,6.66,12.37,,333.0,Very Poor
Delhi,2017-01-21 12:00:00,555.9,256.25,25.62,57.05,20.32,12.53,0.0,18.07,36.95,0.99,0.87,,419.0,Severe
Delhi,2017-01-22 12:00:00,181.8,385.5,43.45,62.4,27.15,18.3,0.0,17.9,26.97,0.75,0.83,,432.0,Severe
Delhi,2017-01-23 12:00:00,435.97,379.76,90.65,91.13,26.36,43.62,0.67,28.78,28.04,6.22,9.16,,402.0,Severe
Delhi,2017-01-24 12:00:00,398.06,535.83,34.85,87.72,46.69,40.01,0.87,25.19,36.8,5.09,8.67,,399.0,Very Poor
Delhi,2017-01-25 12:00:00,189.98,282.89,32.06,62.48,33.18,57.35,0.17,26.45,45.42,4.78,12.33,,450.0,Severe
Delhi,2017-01-26 12:00:00,158.72,273.27,29.5,53.78,34.18,46.96,0.35,22.01,35.98,3.68,4.87,,325.0,Very Poor
Delhi,2017-01-27 12:00:00,97.48,73.42,33.05,36.74,29.69,26.47,0.2,16.59,35.09,2.6,5.34,,184.0,Moderate
Delhi,2017-01-28 12:00:00,148.03,182.39,34.37,55.82,36.79,27.53,0.56,18.24,38.0,4.83,6.77,,246.0,Poor
Delhi,2017-01-29 12:00:00,108.87,146.39,23.26,39.53,25.49,23.15,0.38,16.38,39.56,2.87,4.97,,254.0,Poor
Delhi,2017-01-30 12:00:00,203.69,234.07,36.47,71.0,39.94,38.15,0.49,15.14,33.75,4.91,6.93,,307.0,Very Poor
Delhi,2017-01-31 12:00:00,174.2,216.61,79.14,109.48,70.98,48.21,0.56,12.57,30.67,4.2,12.68,,369.0,Very Poor
Delhi,2017-02-01 12:00:00,159.43,246.33,32.83,59.95,37.57,33.29,0.64,15.51,31.58,3.72,5.96,,312.0,Very Poor
Delhi,2017-02-02 12:00:00,181.65,380.61,69.68,99.82,62.61,48.39,0.64,14.26,32.64,5.59,12.42,,397.0,Very Poor
Delhi,2017-02-03 12:00:00,171.25,376.83,41.75,84.9,45.37,50.41,0.64,15.99,42.62,4.23,9.23,,441.0,Severe
Delhi,2017-02-04 12:00:00,167.9,239.96,9.13,49.93,20.11,47.25,0.56,16.99,51.75,3.02,9.29,,407.0,Severe
Delhi,2017-02-05 12:00:00,139.98,258.29,10.72,43.2,17.84,35.93,0.59,19.03,49.88,2.7,4.11,,308.0,Very Poor
Delhi,2017-02-06 12:00:00,224.32,536.14,36.26,58.16,35.67,38.14,0.77,16.53,34.16,3.86,6.76,,380.0,Very Poor
Delhi,2017-02-07 12:00:00,65.09,183.88,13.79,40.57,19.99,18.95,0.54,14.11,43.47,1.86,4.84,,234.0,Poor
