Datetime,PM2.5,PM10,NOx,CO
2017-01-01 12:00:00,197.4,383.96,29.27,0.78
2017-01-02 12:00:00,184.81,267.92,63.82,0.6
2017-01-03 12:00:00,276.88,378.92,56.38,1.06
2017-01-04 12:00:00,162.64,213.78,40.84,0.47
2017-01-05 12:00:00,190.33,295.89,49.22,0.78
2017-01-06 12:00:00,159.57,246.86,20.84,0.56
2017-01-07 12:00:00,116.69,127.5,22.88,0.78
2017-01-08 12:00:00,110.65,229.67,12.2,0.51
2017-01-09 12:00:00,198.67,343.72,52.85,1.16
2017-01-10 12:00:00,112.19,263.5,31.36,0.35
2017-01-11 12:00:00,145.49,313.33,38.1,0.72
2017-01-12 12:00:00,226.5,436.68,59.11,0.69
2017-01-13 12:00:00,232.09,523.24,44.86,0.63
2017-01-14 12:00:00,285.88,301.0,36.26,0.0
2017-01-15 12:00:00,213.97,357.62,20.15,0.8
2017-01-16 12:00:00,186.46,379.28,53.75,1.25
2017-01-17 12:00:00,227.35,248.81,51.14,0.59
2017-01-18 12:00:00,478.09,318.8,29.57,0.56
2017-01-19 12:00:00,349.37,282.27,22.77,0.58
2017-01-20 12:00:00,437.28,275.53,44.61,0.57
2017-01-21 12:00:00,555.9,256.25,20.32,0.0
2017-01-22 12:00:00,181.8,385.5,27.15,0.0
2017-01-23 12:00:00,435.97,379.76,26.36,0.67
2017-01-24 12:00:00,398.06,535.83,46.69,0.87
2017-01-25 12:00:00,189.98,282.89,33.18,0.17
2017-01-26 12:00:00,158.72,273.27,34.18,0.35
2017-01-27 12:00:00,97.48,73.42,29.69,0.2
2017-01-28 12:00:00,148.03,182.39,36.79,0.56
2017-01-29 12:00:00,108.87,146.39,25.49,0.38
2017-01-30 12:00:00,203.69,234.07,39.94,0.49
2017-01-31 12:00:00,174.2,216.61,70.98,0.56
2017-02-01 12:00:00,159.43,246.33,37.57,0.64
2017-02-02 12:00:00,181.65,380.61,62.61,0.64
