City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ernakulam,2020-01-22 13:00:00,33.83,78.25,130.28,7.63,137.91,103.77,2.02,,,0.5,,0.0,,
Ernakulam,2020-01-22 14:00:00,41.0,87.0,128.78,7.77,136.52,102.78,2.1,,,0.87,,0.21,,
Ernakulam,2020-01-22 15:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-22 16:00:00,40.1,83.36,125.7,7.9,133.62,100.35,1.78,3.35,,0.53,0.72,0.0,,
Ernakulam,2020-01-22 17:00:00,35.0,74.0,126.47,7.76,134.24,100.99,1.84,3.33,,0.67,1.3,0.29,,
Ernakulam,2020-01-22 18:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-22 19:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-22 20:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-22 21:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-22 22:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-22 23:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 00:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 01:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 02:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 03:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 04:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 05:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 06:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 07:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 08:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 09:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 10:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 11:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 12:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 13:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 14:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 15:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 16:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 17:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 18:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 19:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 20:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 21:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 22:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-23 23:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 00:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 01:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 02:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 03:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 04:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 05:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 06:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 07:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 08:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 09:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 10:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 11:00:00,,,,,,,,,,,,,,
Ernakulam,2020-01-24 12:00:00,57.59,92.51,126.35,7.9,134.25,102.7,1.35,3.94,,1.23,2.78,0.69,,
Ernakulam,2020-01-24 13:00:00,42.0,74.16,125.35,8.04,133.4,101.84,1.32,3.62,,0.96,2.23,0.37,,
Ernakulam,2020-01-24 14:00:00,42.16,80.05,125.92,7.98,133.89,102.26,1.3,3.56,,0.98,2.66,0.49,,
Ernakulam,2020-01-24 15:00:00,48.18,82.23,126.25,8.02,134.28,102.7,1.4,3.43,,0.79,2.14,0.15,,
Ernakulam,2020-01-24 16:00:00,54.87,90.66,124.85,8.12,132.98,101.81,1.29,3.4,,0.82,2.17,0.29,,
Ernakulam,2020-01-24 17:00:00,49.72,77.59,123.9,8.13,132.04,101.23,0.92,3.32,,0.57,1.65,0.21,,
Ernakulam,2020-01-24 18:00:00,38.97,63.11,125.89,7.76,133.66,103.12,1.28,3.42,,0.57,1.66,0.23,,
Ernakulam,2020-01-24 19:00:00,37.79,66.69,130.09,7.09,137.18,107.53,0.95,3.51,,0.75,2.43,0.67,,
Ernakulam,2020-01-24 20:00:00,30.02,54.82,128.49,7.54,136.04,105.48,0.83,3.38,,0.44,1.38,0.03,,
Ernakulam,2020-01-24 21:00:00,30.92,47.87,125.02,8.11,133.13,101.99,0.69,3.3,,0.34,0.93,0.08,,
Ernakulam,2020-01-24 22:00:00,28.13,43.22,123.83,8.27,132.1,100.95,0.77,3.33,,0.32,0.82,0.12,,
Ernakulam,2020-01-24 23:00:00,33.23,51.65,123.19,8.39,131.56,100.35,1.29,3.33,,0.45,1.55,0.38,,
Ernakulam,2020-01-25 00:00:00,42.42,75.37,124.28,8.23,132.52,102.0,1.43,3.53,,0.9,2.41,0.32,,
Ernakulam,2020-01-25 01:00:00,59.13,89.97,128.71,7.45,136.19,107.21,1.22,3.64,,0.99,2.55,0.14,,
Ernakulam,2020-01-25 02:00:00,63.84,88.87,129.83,7.23,137.06,108.41,1.1,3.63,,0.81,1.96,0.0,,
Ernakulam,2020-01-25 03:00:00,58.39,84.47,130.73,6.97,137.71,109.31,1.03,3.64,,1.11,2.56,0.23,154.0,Moderate
