City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Hyderabad,2017-01-01 12:00:00,54.75,62.25,9.07,27.13,6.66,13.78,0.15,40.73,64.8,0.0,0.03,0.03,102.0,Moderate
Hyderabad,2017-01-02 12:00:00,13.5,26.5,10.02,27.9,7.01,8.6,0.19,41.03,35.15,0.0,0.03,0.03,104.0,Moderate
Hyderabad,2017-01-03 12:00:00,57.0,124.75,9.77,13.07,5.02,15.7,0.24,,89.92,0.03,0.29,0.2,103.0,Moderate
Hyderabad,2017-01-04 12:00:00,78.25,122.75,9.02,14.38,4.98,18.95,0.0,,124.25,0.02,0.37,0.03,244.0,Poor
Hyderabad,2017-01-05 12:00:00,63.0,107.0,8.75,50.75,11.37,26.35,0.0,,49.82,0.03,0.66,0.14,279.0,Poor
Hyderabad,2017-01-06 12:00:00,73.0,121.75,9.03,61.2,13.29,16.05,0.0,,48.8,0.03,0.27,0.08,144.0,Moderate
Hyderabad,2017-01-07 12:00:00,45.25,78.25,8.62,8.37,3.8,15.77,0.0,,95.98,0.0,0.07,0.03,131.0,Moderate
Hyderabad,2017-01-08 12:00:00,58.25,75.5,8.87,16.6,5.33,14.83,0.0,,62.5,0.01,0.13,0.03,97.0,Satisfactory
Hyderabad,2017-01-09 12:00:00,44.5,61.25,8.8,13.82,7.24,13.92,0.0,,66.28,0.02,0.05,0.05,96.0,Satisfactory
Hyderabad,2017-01-10 12:00:00,,,,,0.0,,0.0,,,0.0,0.0,0.0,102.0,Moderate
Hyderabad,2017-01-11 12:00:00,56.25,116.0,8.77,10.8,6.42,19.33,0.0,,106.8,0.05,0.82,0.2,176.0,Moderate
Hyderabad,2017-01-12 12:00:00,83.0,142.5,9.43,14.3,5.08,19.9,0.0,,81.18,0.04,0.75,0.13,253.0,Poor
Hyderabad,2017-01-13 12:00:00,75.75,115.75,8.33,30.45,7.66,22.57,0.0,,50.57,0.03,0.34,0.05,281.0,Poor
Hyderabad,2017-01-14 12:00:00,49.25,88.75,8.83,20.52,6.12,17.43,0.0,,59.03,0.03,0.13,0.03,163.0,Moderate
Hyderabad,2017-01-15 12:00:00,71.5,106.5,9.85,22.65,6.68,16.03,0.0,,56.15,0.03,0.1,0.03,164.0,Moderate
Hyderabad,2017-01-16 12:00:00,55.25,87.75,9.65,28.1,7.59,15.5,0.0,,36.9,0.03,0.19,0.03,184.0,Moderate
Hyderabad,2017-01-17 12:00:00,72.5,121.0,9.55,33.7,8.57,17.3,0.0,,43.43,0.03,0.31,0.03,132.0,Moderate
Hyderabad,2017-01-18 12:00:00,39.5,7.5,7.8,5.65,3.09,15.95,0.0,,84.45,0.01,0.13,0.03,96.0,Satisfactory
Hyderabad,2017-01-19 12:00:00,63.0,103.5,7.68,24.17,6.35,13.33,0.0,,95.4,0.03,0.1,0.03,98.0,Satisfactory
Hyderabad,2017-01-20 12:00:00,75.25,142.5,8.12,35.25,8.44,14.05,0.0,,77.65,0.03,0.5,0.02,166.0,Moderate
Hyderabad,2017-01-21 12:00:00,48.75,101.5,7.1,13.92,4.38,23.03,0.0,,140.6,0.02,0.15,0.03,160.0,Moderate
Hyderabad,2017-01-22 12:00:00,49.25,87.5,7.7,35.1,24.82,13.7,0.0,,74.53,0.03,0.48,0.15,108.0,Moderate
Hyderabad,2017-01-23 12:00:00,76.5,94.5,8.73,28.33,11.08,18.85,0.0,,108.33,0.02,0.2,0.04,161.0,Moderate
Hyderabad,2017-01-24 12:00:00,62.0,123.25,8.6,28.5,7.37,17.4,0.0,,79.3,0.01,0.22,0.03,148.0,Moderate
Hyderabad,2017-01-25 12:00:00,67.0,99.75,8.92,22.28,6.36,13.85,0.0,,67.65,0.0,0.1,0.03,141.0,Moderate
Hyderabad,2017-01-26 12:00:00,52.75,101.25,8.27,19.6,5.71,13.7,0.0,,96.15,0.0,0.1,0.03,125.0,Moderate
Hyderabad,2017-01-27 12:00:00,45.5,68.75,8.25,26.23,6.87,12.55,0.0,,42.93,0.0,0.1,0.03,98.0,Satisfactory
Hyderabad,2017-01-28 12:00:00,61.0,96.0,7.35,38.8,8.85,17.6,0.0,,38.7,0.0,0.1,0.03,118.0,Moderate
Hyderabad,2017-01-29 12:00:00,60.5,115.5,9.15,41.37,9.79,16.7,0.0,,44.05,0.03,0.59,0.05,221.0,Poor
Hyderabad,2017-01-30 12:00:00,42.5,90.25,9.37,56.2,18.76,51.38,0.0,,82.43,0.05,0.45,0.06,115.0,Moderate
Hyderabad,2017-01-31 12:00:00,27.25,51.75,8.88,17.28,8.18,11.73,0.0,,66.33,0.0,0.05,0.05,108.0,Moderate
Hyderabad,2017-02-01 12:00:00,27.25,60.25,8.78,19.1,5.74,18.57,0.0,,91.93,0.0,0.15,0.02,107.0,Moderate
Hyderabad,2017-02-02 12:00:00,50.25,96.75,9.0,22.28,6.38,15.17,0.0,,79.77,0.01,0.09,0.03,93.0,Satisfactory
Hyderabad,2017-02-03 12:00:00,55.75,100.0,8.77,37.08,8.94,16.0,0.0,,68.35,0.03,0.22,0.01,101.0,Moderate
Hyderabad,2017-02-04 12:00:00,41.25,96.5,8.95,24.55,6.77,16.05,0.0,,107.83,0.02,0.22,0.12,135.0,Moderate
Hyderabad,2017-02-05 12:00:00,34.5,55.75,9.25,36.65,8.99,14.28,0.0,,64.77,0.0,0.03,0.0,110.0,Moderate
Hyderabad,2017-02-06 12:00:00,43.75,78.25,9.0,23.95,6.68,15.35,0.0,,90.58,0.0,0.03,0.0,,
Hyderabad,2017-02-07 12:00:00,93.75,176.25,6.95,31.28,7.45,24.4,0.0,,53.05,0.0,0.0,0.0,205.0,Poor
Hyderabad,2017-02-08 12:00:00,,,,,0.0,,0.0,,,0.0,0.0,0.0,161.0,Moderate
Hyderabad,2017-02-09 12:00:00,39.5,82.75,7.15,26.2,6.59,18.25,0.0,,45.4,0.0,0.07,0.0,156.0,Moderate
Hyderabad,2017-02-10 12:00:00,50.5,107.25,6.38,24.12,6.0,16.25,0.0,,69.85,0.0,0.03,0.0,119.0,Moderate
Hyderabad,2017-02-11 12:00:00,,,,,0.0,,0.0,,,0.0,0.0,0.0,,
Hyderabad,2017-02-12 12:00:00,27.75,,7.5,29.97,7.48,12.85,0.0,,49.67,0.0,0.05,0.0,68.0,Satisfactory
Hyderabad,2017-02-13 12:00:00,42.0,,8.97,20.3,6.02,14.4,0.0,,54.0,0.0,0.07,0.0,,
Hyderabad,2017-02-14 12:00:00,44.0,92.5,5.9,19.35,5.03,17.32,0.0,,103.75,0.01,0.13,0.0,108.0,Moderate
Hyderabad,2017-02-15 12:00:00,51.62,110.12,8.07,23.76,9.61,16.28,0.27,14.75,83.58,0.1,1.32,0.3,131.0,Moderate
Hyderabad,2017-02-16 12:00:00,52.12,115.75,10.34,24.45,10.68,14.71,0.1,15.6,85.2,0.05,0.99,0.05,166.0,Moderate
Hyderabad,2017-02-17 12:00:00,35.75,121.0,7.38,24.42,7.59,18.65,0.09,,71.25,0.11,1.71,0.32,214.0,Poor
Hyderabad,2017-02-18 12:00:00,27.12,118.88,6.91,27.2,8.04,20.75,0.12,,65.14,0.16,1.52,0.37,178.0,Moderate
Hyderabad,2017-02-19 12:00:00,51.75,114.5,4.43,18.02,3.29,,0.11,,105.52,0.11,1.69,0.31,128.0,Moderate
Hyderabad,2017-02-20 12:00:00,36.62,73.0,4.15,14.87,2.26,,0.19,0.1,52.56,0.08,0.87,0.24,188.0,Moderate
Hyderabad,2017-02-21 12:00:00,33.5,110.75,6.88,27.08,7.99,19.82,0.13,,60.19,0.08,1.44,0.3,123.0,Moderate
Hyderabad,2017-02-22 12:00:00,57.25,131.38,6.22,30.66,8.54,21.05,0.15,,85.04,0.09,1.53,0.4,146.0,Moderate
Hyderabad,2017-02-23 12:00:00,67.75,148.38,6.86,28.08,8.21,22.35,0.22,,127.34,0.13,2.17,0.66,193.0,Moderate
Hyderabad,2017-02-24 12:00:00,53.38,146.12,6.75,31.6,8.9,30.22,0.09,,106.38,0.11,2.51,0.9,202.0,Poor
Hyderabad,2017-02-25 12:00:00,57.12,150.75,7.6,23.09,9.21,27.0,0.13,12.8,64.95,0.21,4.34,0.56,163.0,Moderate
Hyderabad,2017-02-26 12:00:00,31.5,115.12,7.25,32.33,9.23,24.95,0.12,,81.06,0.18,2.62,1.76,164.0,Moderate
Hyderabad,2017-02-27 12:00:00,101.75,271.75,6.52,26.67,7.78,17.23,0.22,,,0.15,1.33,0.45,216.0,Poor
Hyderabad,2017-02-28 12:00:00,63.0,139.0,6.14,19.38,6.12,19.45,0.11,,188.53,0.18,1.77,0.18,240.0,Poor
Hyderabad,2017-03-01 12:00:00,56.38,151.12,6.88,21.88,6.89,18.5,0.2,,15.7,0.1,1.0,0.32,141.0,Moderate
Hyderabad,2017-03-02 12:00:00,52.12,112.0,6.05,14.78,5.1,16.1,0.17,,21.32,0.05,0.52,0.07,156.0,Moderate
Hyderabad,2017-03-03 12:00:00,21.25,78.75,6.46,12.26,4.69,20.4,0.1,,83.04,0.03,0.56,0.1,134.0,Moderate
Hyderabad,2017-03-04 12:00:00,32.5,47.12,6.48,19.56,6.26,13.88,0.12,,88.41,0.03,0.6,0.08,118.0,Moderate
Hyderabad,2017-03-05 12:00:00,27.0,53.12,6.36,10.9,4.38,16.0,0.14,181.73,72.59,0.03,0.78,0.07,80.0,Satisfactory
Hyderabad,2017-03-06 12:00:00,30.75,62.75,5.92,14.55,5.02,15.27,0.13,,57.44,0.04,0.59,0.09,89.0,Satisfactory
Hyderabad,2017-03-07 12:00:00,31.12,67.5,57.82,14.27,21.84,18.33,0.1,66.2,61.19,0.04,0.36,0.03,84.0,Satisfactory
Hyderabad,2017-03-08 12:00:00,40.88,133.75,6.8,21.54,6.79,14.18,0.11,,72.7,0.05,0.87,0.59,94.0,Satisfactory
Hyderabad,2017-03-09 12:00:00,66.38,133.88,6.18,31.16,8.65,21.15,0.0,,48.97,0.11,2.32,0.49,174.0,Moderate
Hyderabad,2017-03-10 12:00:00,34.38,125.5,6.88,22.18,6.95,13.9,0.11,,47.62,0.04,0.94,0.55,104.0,Moderate
Hyderabad,2017-03-11 12:00:00,18.5,94.38,6.84,24.32,7.39,10.45,0.11,,53.45,0.03,1.36,0.84,112.0,Moderate
Hyderabad,2017-03-12 12:00:00,29.0,121.12,7.51,27.18,8.21,12.0,0.09,,59.08,0.08,1.32,0.37,116.0,Moderate
Hyderabad,2017-03-13 12:00:00,46.0,152.25,7.16,36.34,10.06,20.45,0.17,,81.18,0.14,2.5,0.54,144.0,Moderate
Hyderabad,2017-03-14 12:00:00,41.62,114.38,5.99,21.38,6.49,18.13,0.12,,72.56,0.09,1.15,0.23,150.0,Moderate
Hyderabad,2017-03-15 12:00:00,27.38,74.75,7.08,19.35,6.42,13.33,0.15,,65.41,0.05,0.6,0.19,80.0,Satisfactory
Hyderabad,2017-03-16 12:00:00,20.25,27.88,7.43,15.1,5.61,11.7,0.08,,56.0,0.01,0.46,0.06,69.0,Satisfactory
Hyderabad,2017-03-17 12:00:00,40.5,73.25,7.7,21.3,7.03,13.37,0.15,,62.47,0.07,1.28,0.2,86.0,Satisfactory
Hyderabad,2017-03-18 12:00:00,35.62,147.38,7.43,25.96,7.94,19.12,0.09,,54.48,0.09,2.71,2.02,144.0,Moderate
Hyderabad,2017-03-19 12:00:00,29.88,146.38,8.06,27.78,10.64,18.1,0.12,,42.66,0.12,3.08,0.64,170.0,Moderate
Hyderabad,2017-03-20 12:00:00,30.62,122.0,5.36,25.25,7.11,29.5,0.09,,39.36,0.06,1.13,0.21,128.0,Moderate
Hyderabad,2017-03-21 12:00:00,32.25,116.75,7.28,16.78,5.92,27.82,0.07,,59.92,0.12,1.83,0.33,156.0,Moderate
Hyderabad,2017-03-22 12:00:00,41.88,129.88,7.18,30.45,8.81,23.42,0.09,,99.86,0.09,1.15,0.22,169.0,Moderate
Hyderabad,2017-03-23 12:00:00,58.12,130.75,6.91,30.36,8.72,21.55,0.14,,137.19,0.08,0.8,0.21,203.0,Poor
Hyderabad,2017-03-24 12:00:00,35.0,67.38,7.12,21.38,6.86,19.07,0.06,,70.9,0.06,0.7,0.18,118.0,Moderate
Hyderabad,2017-03-25 12:00:00,38.75,90.25,5.13,8.6,2.18,,0.1,,104.15,0.08,0.8,0.2,129.0,Moderate
Hyderabad,2017-03-26 12:00:00,64.5,146.38,7.14,28.03,8.29,18.85,0.15,,86.98,0.09,1.03,0.38,140.0,Moderate
Hyderabad,2017-03-27 12:00:00,36.12,91.25,7.2,19.76,6.54,14.85,0.08,,112.29,0.08,0.69,0.18,164.0,Moderate
Hyderabad,2017-03-28 12:00:00,48.25,106.25,7.22,18.19,6.2,12.53,0.11,,117.68,0.07,0.7,0.16,170.0,Moderate
