Datetime,PM2.5,PM10,NOx,CO
2017-01-01 12:00:00,54.75,62.25,6.66,0.15
2017-01-02 12:00:00,13.5,26.5,7.01,0.19
2017-01-03 12:00:00,57.0,124.75,5.02,0.24
2017-01-04 12:00:00,78.25,122.75,4.98,0.0
2017-01-05 12:00:00,63.0,107.0,11.37,0.0
2017-01-06 12:00:00,73.0,121.75,13.29,0.0
2017-01-07 12:00:00,45.25,78.25,3.8,0.0
2017-01-08 12:00:00,58.25,75.5,5.33,0.0
2017-01-09 12:00:00,44.5,61.25,7.24,0.0
2017-01-10 12:00:00,,,0.0,0.0
2017-01-11 12:00:00,56.25,116.0,6.42,0.0
2017-01-12 12:00:00,83.0,142.5,5.08,0.0
2017-01-13 12:00:00,75.75,115.75,7.66,0.0
2017-01-14 12:00:00,49.25,88.75,6.12,0.0
2017-01-15 12:00:00,71.5,106.5,6.68,0.0
2017-01-16 12:00:00,55.25,87.75,7.59,0.0
2017-01-17 12:00:00,72.5,121.0,8.57,0.0
2017-01-18 12:00:00,39.5,7.5,3.09,0.0
2017-01-19 12:00:00,63.0,103.5,6.35,0.0
2017-01-20 12:00:00,75.25,142.5,8.44,0.0
2017-01-21 12:00:00,48.75,101.5,4.38,0.0
2017-01-22 12:00:00,49.25,87.5,24.82,0.0
2017-01-23 12:00:00,76.5,94.5,11.08,0.0
2017-01-24 12:00:00,62.0,123.25,7.37,0.0
2017-01-25 12:00:00,67.0,99.75,6.36,0.0
2017-01-26 12:00:00,52.75,101.25,5.71,0.0
2017-01-27 12:00:00,45.5,68.75,6.87,0.0
2017-01-28 12:00:00,61.0,96.0,8.85,0.0
2017-01-29 12:00:00,60.5,115.5,9.79,0.0
2017-01-30 12:00:00,42.5,90.25,18.76,0.0
2017-01-31 12:00:00,27.25,51.75,8.18,0.0
2017-02-01 12:00:00,27.25,60.25,5.74,0.0
2017-02-02 12:00:00,50.25,96.75,6.38,0.0
2017-02-03 12:00:00,55.75,100.0,8.94,0.0
2017-02-04 12:00:00,41.25,96.5,6.77,0.0
2017-02-05 12:00:00,34.5,55.75,8.99,0.0
2017-02-06 12:00:00,43.75,78.25,6.68,0.0
2017-02-07 12:00:00,93.75,176.25,7.45,0.0
2017-02-08 12:00:00,,,0.0,0.0
2017-02-09 12:00:00,39.5,82.75,6.59,0.0
2017-02-10 12:00:00,50.5,107.25,6.0,0.0
2017-02-11 12:00:00,,,0.0,0.0
