City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Jorapokhar,2017-04-20 08:00:00,,82.1,6.16,7.19,,,,,16.4,,,,,
Jorapokhar,2017-04-20 09:00:00,,139.4,7.35,7.88,,,0.32,17.33,8.54,,,,,
Jorapokhar,2017-04-20 10:00:00,,123.0,7.35,9.38,,,0.29,10.22,24.04,,,,,
Jorapokhar,2017-04-20 11:00:00,,113.9,8.97,8.22,,,0.32,12.26,20.06,,,,,
Jorapokhar,2017-04-20 12:00:00,,130.3,5.61,10.03,,,0.42,85.27,18.72,,,,,
Jorapokhar,2017-04-20 13:00:00,,130.2,10.77,12.23,,,0.27,17.07,21.29,,,,,
Jorapokhar,2017-04-20 14:00:00,,117.5,8.01,9.87,,,0.29,,23.11,,,,,
Jorapokhar,2017-04-20 15:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-20 16:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-20 17:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-20 18:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-20 19:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-20 20:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-20 21:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-20 22:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-20 23:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-21 00:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-21 01:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-21 02:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-21 03:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-21 04:00:00,,,,,,,,,,,,,,
Jorapokhar,2017-04-21 05:00:00,,49.5,5.53,8.64,,,,0.3,21.12,,,,,
Jorapokhar,2017-04-21 06:00:00,,65.6,6.0,9.71,,,0.31,7.87,17.64,,,,,
Jorapokhar,2017-04-21 07:00:00,,120.5,8.87,9.07,,,0.21,,14.79,,,,,
Jorapokhar,2017-04-21 08:00:00,,92.5,8.77,10.79,,,0.14,,10.82,,,,,
Jorapokhar,2017-04-21 09:00:00,,164.3,6.86,11.52,,,0.27,3.18,13.43,,,,,
Jorapokhar,2017-04-21 10:00:00,,132.9,9.93,11.65,,,0.23,0.02,15.56,,,,,
Jorapokhar,2017-04-21 11:00:00,,149.2,9.83,9.01,,,0.31,54.91,12.2,,,,,
Jorapokhar,2017-04-21 12:00:00,,155.5,8.06,8.85,,,0.31,40.49,18.39,,,,,
Jorapokhar,2017-04-21 13:00:00,,,8.2,9.03,,,0.27,9.48,4.05,,,,,
Jorapokhar,2017-04-21 14:00:00,,,8.5,9.5,,,0.27,105.0,19.01,,,,,
Jorapokhar,2017-04-21 15:00:00,,94.5,8.55,8.74,,,0.41,147.38,22.1,,,,,
Jorapokhar,2017-04-21 16:00:00,,166.1,5.17,9.27,,,0.51,1.48,23.15,,,,,
Jorapokhar,2017-04-21 17:00:00,,211.9,8.16,13.94,,,0.1,39.69,23.9,,,,,
Jorapokhar,2017-04-21 18:00:00,,261.2,9.77,12.65,,,0.11,52.43,19.93,,,,,
Jorapokhar,2017-04-21 19:00:00,,288.3,7.46,14.53,,,0.29,1.0,23.8,,,,,
Jorapokhar,2017-04-21 20:00:00,,301.9,7.55,9.62,,,0.2,1.0,9.3,,,,,
Jorapokhar,2017-04-21 21:00:00,,285.2,9.31,9.66,,,0.37,28.32,11.03,,,,,
Jorapokhar,2017-04-21 22:00:00,,202.3,8.26,9.24,,,0.31,5.32,9.66,,,,148.0,Moderate
Jorapokhar,2017-04-21 23:00:00,,158.9,7.18,8.47,,,0.3,1.01,11.3,,,,147.0,Moderate
Jorapokhar,2017-04-22 00:00:00,,160.3,6.95,8.07,,,0.37,16.92,12.86,,,,147.0,Moderate
Jorapokhar,2017-04-22 01:00:00,,121.5,9.33,9.57,,,0.2,1.8,9.21,,,,145.0,Moderate
Jorapokhar,2017-04-22 02:00:00,,83.6,9.86,8.62,,,0.27,1.0,4.16,,,,142.0,Moderate
Jorapokhar,2017-04-22 03:00:00,,88.0,7.58,7.48,,,0.41,15.13,3.38,,,,140.0,Moderate
Jorapokhar,2017-04-22 04:00:00,,52.2,7.28,8.66,,,0.29,1.92,15.13,,,,137.0,Moderate
Jorapokhar,2017-04-22 05:00:00,,62.5,8.24,9.12,,,0.31,7.25,12.12,,,,137.0,Moderate
Jorapokhar,2017-04-22 06:00:00,,56.4,9.8,9.12,,,0.29,23.26,12.68,,,,137.0,Moderate
Jorapokhar,2017-04-22 07:00:00,,100.5,5.44,9.51,,,0.19,49.88,20.92,,,,136.0,Moderate
Jorapokhar,2017-04-22 08:00:00,,131.5,8.2,11.26,,,0.2,36.84,46.24,,,,137.0,Moderate
Jorapokhar,2017-04-22 09:00:00,,161.8,9.04,7.85,,,0.27,29.44,40.58,,,,137.0,Moderate
Jorapokhar,2017-04-22 10:00:00,,125.5,7.01,11.75,,,0.36,85.49,30.99,,,,137.0,Moderate
Jorapokhar,2017-04-22 11:00:00,,124.4,5.52,8.52,,,0.26,76.78,20.96,,,,136.0,Moderate
Jorapokhar,2017-04-22 12:00:00,,135.2,5.88,10.09,,,0.23,119.03,21.54,,,,136.0,Moderate
Jorapokhar,2017-04-22 13:00:00,,166.8,9.3,9.48,,,0.23,99.2,27.22,,,,136.0,Moderate
Jorapokhar,2017-04-22 14:00:00,,116.0,7.67,10.29,,,0.23,104.49,27.82,,,,135.0,Moderate
Jorapokhar,2017-04-22 15:00:00,,151.1,9.13,9.05,,,0.41,49.92,20.09,,,,136.0,Moderate
Jorapokhar,2017-04-22 16:00:00,,176.5,8.97,8.79,,,0.38,53.65,26.98,,,,137.0,Moderate
Jorapokhar,2017-04-22 17:00:00,,182.9,8.55,7.57,,,0.29,1.0,15.33,,,,136.0,Moderate
Jorapokhar,2017-04-22 18:00:00,,188.7,5.84,10.34,,,0.24,1.0,7.36,,,,134.0,Moderate
Jorapokhar,2017-04-22 19:00:00,,143.3,7.0,9.74,,,0.29,1.0,15.51,,,,130.0,Moderate
Jorapokhar,2017-04-22 20:00:00,,146.6,8.37,8.48,,,0.3,1.0,8.8,,,,126.0,Moderate
Jorapokhar,2017-04-22 21:00:00,,127.9,9.19,10.59,,,0.38,2.73,4.64,,,,121.0,Moderate
Jorapokhar,2017-04-22 22:00:00,,93.1,7.77,11.55,,,0.37,12.67,14.29,,,,118.0,Moderate
Jorapokhar,2017-04-22 23:00:00,,95.0,8.14,11.26,,,0.28,8.83,7.48,,,,116.0,Moderate
Jorapokhar,2017-04-23 00:00:00,,75.2,6.72,7.62,,,0.28,1.1,15.62,,,,114.0,Moderate
Jorapokhar,2017-04-23 01:00:00,,72.1,7.84,8.51,,,0.31,19.39,11.69,,,,113.0,Moderate
Jorapokhar,2017-04-23 02:00:00,,50.1,5.97,6.48,,,0.37,34.45,26.52,,,,112.0,Moderate
Jorapokhar,2017-04-23 03:00:00,,57.6,6.55,8.32,,,0.25,37.78,21.41,,,,111.0,Moderate
Jorapokhar,2017-04-23 04:00:00,,43.3,6.93,9.94,,,0.31,34.7,7.72,,,,111.0,Moderate
Jorapokhar,2017-04-23 05:00:00,,55.8,7.07,8.27,,,0.41,77.32,18.56,,,,110.0,Moderate
Jorapokhar,2017-04-23 06:00:00,,88.6,9.05,7.53,,,0.23,65.64,11.29,,,,111.0,Moderate
Jorapokhar,2017-04-23 07:00:00,,81.9,6.67,8.11,,,0.3,40.42,23.97,,,,111.0,Moderate
Jorapokhar,2017-04-23 08:00:00,,80.5,6.61,8.98,,,0.32,40.6,22.16,,,,109.0,Moderate
Jorapokhar,2017-04-23 09:00:00,,56.9,5.35,9.23,,,0.21,21.39,19.21,,,,107.0,Moderate
Jorapokhar,2017-04-23 10:00:00,,94.0,8.21,16.56,,,0.22,55.83,5.26,,,,106.0,Moderate
