City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Thiruvananthapuram,2017-06-16 14:00:00,38.0,10.0,2.7,7.1,6.2,,0.71,4.1,18.3,,,,,
Thiruvananthapuram,2017-06-16 15:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-16 16:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-16 17:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-16 18:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-16 19:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-16 20:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-16 21:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-16 22:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-16 23:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 00:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 01:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 02:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 03:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 04:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 05:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 06:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 07:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 08:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 09:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 10:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 11:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 12:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 13:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 14:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 15:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 16:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 17:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 18:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 19:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 20:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 21:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 22:00:00,,,,,,,,,,,,,,
Thiruvananthapuram,2017-06-17 23:00:00,,,,,,,,,,,,,,
